RS	AS	RFU	AFU	Kur
18289.9	53408.16	1265	114.65	14413
18406.53	56432.63	1332	121.05	14222
18998.65	59263.66	1285	117.15	14171
18664.7	57401.83	1251	109.85	14168
18233.74	54320.95	1245	105.6	14267
17814.53	52569.25	1246	108.95	14342
17936.02	54440.22	1283	114.25	14411
18188.85	55428.91	1272	112.28	14323
18441.69	56002.2	1226	109.13	14490
18404.02	55997.54	1215	107.05	14815
18358.57	55988.04	1223	103.9	15067.57
18320.07	55982.65	1186	102.9	15263.5
18310.37	56248.16	1201	108.05	15448.19
18344.47	56996.18	1190	113.83	15712
18416.87	58137.28	1218	119.7	16273
18521.88	59569.73	1233	125.6	16608
18653.65	61177.38	1246	121.25	16486
18806.08	62826.94	1246	129.95	16407
18972.93	64364.72	1241	124.65	16328
19147.69	65612.6	1209	115.85	16230
19323.68	66362.91	1203	119.3	16336
19493.94	66372.12	1186	119.55	16367
19651.31	65805.72	1171	116	16413
19788.36	65086.3	1209	119.35	16741
19897.39	64537.56	1191	114.9	16464
19970.45	65249.06	1194	116.65	16556
19999.27	66667.98	1206	119.9	16410
19975.32	67385.18	1200	119.8	16245
19863.11	67151.58	1189	118.6	16341
19650.97	66653.92	1178.302	119.175	16090.5
19360.11	65961.32	1167.695	119.75	15840
19006.13	65120.73	1159	117.2	15722
18439.07	63717.7	1169	120.2	15707
18719.11	65629.77	1168	118.6	15787
18355.95	63610.01	1151	116.05	15503
18096.95	62449	1140	113.65	15543
17754.94	61439.47	1103	109.65	15643
17305.75	60521.06	1084	110.6	15567
16981.89	59950.58	1113	111.05	15630
17420.95	59887	1098	105.2	15553
17192.43	56982.18	1122	104.6	15591
17339.86	56627.11	1152	105.7	15488
17601.55	56314.57	1158	103.65	15415
17759.46	56132.95	1166	104.65	15157
17834.36	56280.15	1177	104.45	15105.02
17902.52	56626.1	1170	105.55	15073
17958.34	56967.2	1173	108.85	15104
17987.5	57119.26	1174	109.35	15127
17793.24	56542.92	1159	107.45	15075.23
17598.97	55966.58	1163.5	110.1	15009
17658.77	56284.21	1168	108.95	14936
17718.57	56601.84	1150	105.6	14978
17661.62	56449.61	1121	103.55	14887
17514.85	56206.89	1141	104.9	14946
17375.23	55950.51	1151	104.8	14909
17311.12	55689.51	1155	105.7	14885
17306.09	55415.63	1157	107.05	14823
17294.95	54925.93	1154	105.65	14785
17391.15	54580.92	1157	104.75	14778.27
17649.88	54271.88	1157	103.6	14779.5
17981.23	54018.58	1188	104.35	14779.77
18264.11	53858.53	1219	105.1	14774
18331.39	53872.67	1210	102.5	14761
18186.86	54114.82	1177	99.1	14769
17575.47	52305.3	1169	96.3	14733
17203.65	51612.69	1159	98.3	14644.09
16988.76	51089.1	1179	98.2	14502
17140.45	50679.3	1202	99.1	14245
17292.14	50269.5	1196	98.15	14165
17112.18	49588.25	1233	98.9	14200
17533.72	49427	1250	98.9	13956
17832.14	49487.82	1221	97.8	13973
17500.8	49362.91	1224	96.75	14083
17461.71	48626.16	1196	96	14014
17307.9	49120.15	1181	95.2	14257
17023.33	48638.29	1165	94	14228
16669.98	47817.72	1148	93.65	14155
16564.9	48404.73	1150	96.25	14234
16459.82	48991.73	1134	94.6	14186
16261.39	48400.67	1145	93.75	14242
16404.56	47883.17	1159	95.95	14209
16429.56	48210.6	1158	96.25	14265
16436.58	49008.01	1145	96.65	14160
16430.68	49339.22	1128	94.85	14231
16158.42	48509.5	1128	95.65	14239
16362.36	49397.4	1153	98.65	14369
16648.16	50545.15	1162	100.05	14302
17088.78	51995.79	1190	103.05	14341
17529.4	53446.43	1172	102.25	14516
17403.92	53320.45	1169	99.725	14566
17212.25	53172.17	1150	97.2	14538.14
16781.95	50393.29	1161	99.25	14489.85
16971.87	51399.41	1162	98.95	14460
16971.8	51204.13	1167	97.7	14446
17122.59	50794.37	1167	96.15	14501
17104.4	49989.88	1194	97.4	14486
17336.36	50350.94	1185	96.7	14512
17568.31	50712.01	1196	95.95	14569.87
17775.4	50400.82	1204	97.1	14672
18097.53	51484.49	1268	101.05	14781.93
18531.99	51889.54	1253	98.5	14832
18983.85	52294.59	1292	100.5	14813
19441.68	53325.42	1332	108.35	14655
20143.68	55129.26	1325	107.5	14669
19947.34	54504.97	1333	108.4	14614
20070.77	54910.99	1333	110.4	14605
20203.65	55649.16	1336	109.65	14543
20072.43	55387.71	1344	111.6	14570
20177.99	56645.89	1340	115.35	14653
20302.19	59275.8	1344	118.95	14692.53
20411.01	60515.44	1351	117.9	14713
20508.06	59932.64	1404	121.05	14697
21304.58	61169.89	1379	121.55	14623
20826.5	61262.15	1368	117	14587
21065.65	60260.74	1393	115.45	14647
21304.79	58941.18	1391	112.6	14750
21238.03	57447.79	1383	111.35	14728
21172.64	57022.42	1394	112.05	14777
21509.55	57760.2	1442	116.2	14877
22402.08	59988.59	1445	114.7	14917
22377.07	59806.18	1440	115.55	14914.71
22352.05	59623.77	1470	119.3	14907
22683.17	60991.36	1451	118.45	14786
22732.3	61185.89	1457	118.55	14787.56
22767.88	61346.39	1477	120.1	14792.35
22816.23	61420.71	1496	120.25	14794
22884.89	60816.11	1512	123.2	14632
23163.85	62277.81	1521	122.8	14636
23443.93	62415.41	1498	122.95	14714
23322.4	62946.98	1522	127.1	14702
23200.88	63825.65	1423	129.8	14554
23300.07	65415.85	1554	131.9	14615
24158.82	67308.68	1530	131.5	14804
22034.97	67522.01	1526	131.6	14818
22866.4	67679.08	1532	134.8	14792
23697.83	67895.54	1517	123.9	14754
23511.52	68717.38	1501	132.8	14798
23324.02	67980.49	1505	129.65	14853
23422.08	68411.03	1512	132.5	14871
23717.62	63434.23	1522	133.35	14979
23883.84	68813.98	1480	123.55	14974
22987.76	63455.68	1482	122.2	14870
22981.31	62673.21	1479	118.3	14844
22983.06	61996.35	1486	120.55	14878
22930.02	60323.43	1456	113.6	14768
22344.61	57871.57	1445	112	14723
22206.89	57264.12	1401	110.65	14782
22069.16	56900.67	1430	110.5	14835
21894.32	57266.72	1410	111.15	14949
20887.94	57599.68	1358	113.65	14951
21003.84	58882.32	1342.5	109.55	14959
20409.49	56680.31	1327	109.55	14920
20007.31	56672.64	1305	110.95	14918
19805.99	55996.1	1288	107.05	14876
19691.57	55319.55	1290	108.95	14890
19695.04	56178.66	1268	107.2	14867
19108.11	54726.12	1255	107.65	14712
18980.19	55219.04	1246	109.6	14784
18780.95	56053.47	1251	110.25	14750
18849.76	56324.2	1260	111.55	14737
19016.03	57000.44	1233	109.15	14746
18613.21	55995.56	1223	110.1	14793
18424.4	56415.81	1250	109.6	14781.1
18767.8	56284.68	1264	109.5	14767
19111.2	56065.4	1273	107.25	14753.6
19232.49	54859.65	1280	106.05	14741
19336.46	54223.07	1265	104.9	14729
18985.08	54881.66	1250	104.15	14658
18780.22	54660.13	1276	106.7	14697
19279.94	54577.11	1271	105.6	14738
19139.47	53882.85	1276	106.65	14697
19215.63	54373.15	1331	106.95	14690
19411.22	54577.55	1327	105	14692.97
19774.04	54724.83	1316	104.6	14704
20164.6	54818.58	1339	104.5	14714.73
20332.45	54862.08	1322	104.4	14718
19989.94	54343	1312	102.8	14609
19647.44	53793.67	1293	103.45	14557
19525.26	53226.48	1319	103	14439
19438.05	52659.29	1330	105.95	14321
19412.43	52580.49	1327	106.95	14172
19143.28	51945.55	1346	106.85	14315
19539.93	52385.8	1373	107.3	14076
20143.56	53657.46	1393	109.1	14187
20525.49	54267.03	1394	110.1	14222
20419.44	53545.2	1426	109.25	14139
20846.14	56307.13	1418	115.65	14073
